"id","word","pinyin","pinyinwt","part","meaning","example","audio","level","lesson","isFavorite"
"134","少","shǎo","shao","сифат","кам","杯子里的水很～。","audio_files/少.mp3","H1","14","0"
"135","少","shǎo","shao","феъл","кам будан, кам доштан","我还～本书。","audio_files/少.mp3","H1","14","0"
"136","谁","shéi","shei","ҷонишин","ки, кист","那个人是～？","audio_files/谁.mp3","H1","4","0"
"137","什么","shénme","shenme","ҷонишин","чӣ","你看见了～？","audio_files/什么.mp3","H1","3","0"
"138","什么","shénme","shenme","ҷонишин","ҳама чиз","你真棒，～都会！","audio_files/什么.mp3","H1","3","0"
"139","十","shí","shi","шумора","даҳ","现在是～月。","audio_files/十.mp3","H1","5","0"
"140","时候","shíhou","shihou","исм","вақт","我回家的～，他在睡觉。","audio_files/时候.mp3","H1","11","0"
"141","是","shì","shi","феъл","будан, мебошад","他不～学生。","audio_files/是.mp3","H1","3","0"
"142","是","shì","shi","феъл","бале","甲：你是中国人吗？乙：～，我是中国人。","audio_files/是.mp3","H1","3","0"
"143","书","shū","shu","исм","китоб","我喜欢读～。","audio_files/书.mp3","H1","7","0"
"144","水","shuǐ","shui","исм","об","杯子里还有～吗？","audio_files/水.mp3","H1","12","0"
"145","水果","shuǐguǒ","shuiguo","исм","меваҷот","我想去商店买～。","audio_files/水果.mp3","H1","12","0"
"146","睡觉","shuìjiào","shuijiao","феъл","хоб кардан","儿子在～呢。","audio_files/睡觉.mp3","H1","13","0"
"147","说","shuō","shuo","феъл","гап задан, гуфтан","你在～什么？","audio_files/说.mp3","H1","6","0"
"148","说话","shuōhuà","shuohua","феъл","гап задан, гуфтугӯ кардан","他们在～。","audio_files/说话.mp3","H1","6","0"
"149","四","sì","si","шумора","чаҳор, чор","我们～个人去看电影。","audio_files/四.mp3","H1","5","0"
"150","岁","suì","sui","воҳиди ченак (барои исм)","сол (воҳиди сину сол)","李医生今年 40～。","audio_files/岁.mp3","H1","5","0"
"151","他","tā","ta","ҷонишин","вай, ӯ (барои мард)","～是我们的老师。","audio_files/他.mp3","H1","4","0"
"152","她","tā","ta","ҷонишин","вай, ӯ (барои зан)","我认识～的妈妈。","audio_files/她.mp3","H1","4","0"
"153","太","tài","tai","сифат","бисёр, хеле","这个学校～大了。","audio_files/太.mp3","H1","12","0"
"154","太","tài","tai","сифат","ниҳоят","这个苹果～大，我吃不完。","audio_files/太.mp3","H1","12","0"
"155","天气","tiānqì","tianqi","исм","обу ҳаво, ҳаво","今天的～非常好。","audio_files/天气.mp3","H1","12","0"
"156","听","tīng","ting","феъл","гӯш кардан, шунидан","你～，谁来了？","audio_files/听.mp3","H1","15","0"
"157","听","tīng","ting","феъл","итоат кардан","这件事儿，我～你的。","audio_files/听.mp3","H1","15","0"
"158","同学","tóngxué","tongxue","исм","ҳамсинф, ҳамкурс, ҳамсабақ","～们，你们好！","audio_files/同学.mp3","H1","4","0"
"159","喂","wèi","wei","нидо","алло","～，李老师在吗？","audio_files/喂.mp3","H1","13","0"
"160","我","wǒ","wo","ҷонишин","ман","～是一个学生。","audio_files/我.mp3","H1","3","0"
"161","我们","wǒmen","women","ҷонишин","мо","～都是学生。","audio_files/我们.mp3","H1","11","0"
"162","五","wǔ","wu","шумора","панҷ","今天星期～。","audio_files/五.mp3","H1","5","0"
"163","喜欢","xǐhuan","xihuan","феъл","писандидан, маъқул будан","我～学汉语。","audio_files/喜欢.mp3","H1","13","0"
"164","下","xià","xia","исм","поён, зер","小猫在桌子～面。","audio_files/下.mp3","H1","9","0"
"165","下","xià","xia","феъл","боридан","今天～雨了。","audio_files/下.mp3","H1","9","0"
"166","下","xià","xia","исм","оянда, дигар","我～个月去北京。","audio_files/下.mp3","H1","9","0"
"167","下","xià","xia","феъл","фаромадан","他在～飞机呢。","audio_files/下.mp3","H1","9","0"
"168","下","xià","xia","феъл","итмом расондан, тамом кардан","我们八点～班。","audio_files/下.mp3","H1","9","0"
"169","下午","xiàwǔ","xiawu","исм","пас аз нисфирӯзӣ","我今天～不去学校了。","audio_files/下午.mp3","H1","8","0"
"170","下雨","xiàyǔ","xiayu","феъл","борон боридан","昨天～了。","audio_files/下雨.mp3","H1","12","0"
"171","先生","xiānsheng","xiansheng","исм","мӯҳтарам, ҷаноб","你也认识王～？","audio_files/先生.mp3","H1","14","0"
"172","现在","xiànzài","xianzai","исм","ҳоло, ҳозир","～是 12 点。","audio_files/现在.mp3","H1","11","0"
"173","想","xiǎng","xiang","феъли ёридиҳанда","ният кардан","我～星期六去北京。","audio_files/想.mp3","H1","8","0"
"174","想","xiǎng","xiang","феъл","фикр кардан","妈妈，你在～什么呢？","audio_files/想.mp3","H1","8","0"
"175","想","xiǎng","xiang","феъл","ёд кардан","爸爸，我～你了。","audio_files/想.mp3","H1","8","0"
"176","小","xiǎo","xiao","сифат","хурд, майда","这个苹果太~了。","audio_files/小.mp3","H1","9","0"
"177","小","xiǎo","xiao","феъл","кам шудан","雨～了，我们现在走吧。","audio_files/小.mp3","H1","9","0"
"178","小","xiǎo","xiao","сифат","хурдӣ","这是我的～儿子，他还有个哥哥。","audio_files/小.mp3","H1","9","0"
"179","小姐","xiǎojiě","xiaojie","исм","хонум","～，你叫什么名字？","audio_files/小姐.mp3","H1","12","0"
"180","些","xiē","xie","воҳиди ченак (барои исм)","каме, камтар","我买了～苹果。","audio_files/些.mp3","H1","12","0"
"181","些","xiē","xie","воҳиди ченак (барои феъл)","каме, камтар","我的病好～了。","audio_files/些.mp3","H1","12","0"
"182","写","xiě","xie","феъл","навиштан","你～的字很漂亮。","audio_files/写.mp3","H1","6","0"
"183","谢谢","xièxie","xiexie","феъл","ташаккур, раҳмат","甲：～你。乙：不客气！","audio_files/谢谢.mp3","H1","2","0"
"184","星期","xīngqī","xingqi","исм","ҳафта","一个～有七天。","audio_files/星期.mp3","H1","7","0"
"185","学生","xuésheng","xuesheng","исм","донишҷӯ, хонанда","我们学校里的～很多。","audio_files/学生.mp3","H1","3","0"
"186","学习","xuéxí","xuexi","феъл","хондан","你喜欢～汉语吗？","audio_files/学习.mp3","H1","13","0"
"187","学校","xuéxiào","xuexiao","исм","таълимгоҳ","我们～很大。","audio_files/学校.mp3","H1","7","0"
"188","一","yī","yi","шумора","як","这儿～个人都没有。","audio_files/一.mp3","H1","5","0"
"189","一","yī","yi","шумора","дар байни ду феъли такроршуда истифода мешавад.","请让我看～看。","audio_files/一.mp3","H1","5","0"
"190","一点儿","yìdiǎnr","yidianr","воҳиди ченак (барои исм)","камтар, каме","我只有～钱。","audio_files/一点儿.mp3","H1","14","0"
"191","衣服","yīfu","yifu","исм","либос","我在商店买了很多～。","audio_files/衣服.mp3","H1","14","0"
"192","医生","yīshēng","yisheng","исм","духтур","他是这个医院里的～。","audio_files/医生.mp3","H1","9","0"
"193","医院","yīyuàn","yiyuan","исм","беморхона","这是一个大～。","audio_files/医院.mp3","H1","9","0"
"194","椅子","yǐzi","yizi","исм","курсӣ","小狗在～下面呢。","audio_files/椅子.mp3","H1","9","0"
"195","有","yǒu","you","феъл","доштан","我～一个女儿。","audio_files/有.mp3","H1","5","0"
"196","有","yǒu","you","феъл","будан, ҳаст","桌子上～本书。","audio_files/有.mp3","H1","5","0"
"197","月","yuè","yue","исм","моҳ","一年有 12 个～。","audio_files/月.mp3","H1","7","0"
"198","再见","zàijiàn","zaijian","-","то дидор， то боздид","妈妈，我去学校了，～。","audio_files/再见.mp3","H1","2","0"
"199","在","zài","zai","феъл","дар, дар…аст","书～桌子上。","audio_files/在.mp3","H1","9","0"
"200","在","zài","zai","зарф","дар ҳолати","我～吃饭呢。","audio_files/在.mp3","H1","9","0"
"201","怎么","zěnme","zenme","ҷонишин","чӣ тавр, чӣ гуна","你～去北京？","audio_files/怎么.mp3","H1","6","0"
"202","怎么样","zěnmeyàng","zenmeyang","ҷонишин","чӣ хел, чӣ тавр","我们去看电影，～？","audio_files/怎么样.mp3","H1","12","0"
"203","这（这儿）","zhè（zhèr）","zhe（zher）","ҷонишин","ин, ин ҷо","～个人是我的同学。我能坐在～儿吗？","audio_files/这（这儿）.mp3","H1","8","0"
"204","中国","Zhōngguó","Zhongguo","исм","Ҷумҳурии Мардумии Чин","我在～学汉语。","audio_files/中国.mp3","H1","3","0"
"205","中午","zhōngwǔ","zhongwu","исм","нисфирӯзӣ","我今天～去火车站。","audio_files/中午.mp3","H1","11","0"
"206","住","zhù","zhu","феъл","зиндагӣ кардан","他在北京～了很多年。","audio_files/住.mp3","H1","11","0"
"207","桌子","zhuōzi","zhuozi","исм","миз","电脑在～上。","audio_files/桌子.mp3","H1","10","0"
"208","字","zì","zi","исм","иероглиф, ҳарф","这个～你认识吗？","audio_files/字.mp3","H1","6","0"
"209","昨天","zuótiān","zuotian","исм","дирӯз","他～没去学校。","audio_files/昨天.mp3","H1","7","0"
"210","坐","zuò","zuo","феъл","нишастан","他一个下午都～在电视前。","audio_files/坐.mp3","H1","10","0"
"211","坐","zuò","zuo","феъл","савор шудан","我～飞机去中国。","audio_files/坐.mp3","H1","10","0"
"212","做","zuò","zuo","феъл","тайёр кардан, омода кардан","今天妈妈～了很多菜。","audio_files/做.mp3","H1","6","0"
"213","做","zuò","zuo","феъл","машғул шудан","你是～什么工作的？","audio_files/做.mp3","H1","6","0"
"214","做","zuò","zuo","феъл","кардан","我每天～作业。","audio_files/做.mp3","H1","6","0"
"215","吧","ba","ba","калимаи ёридиҳандаи ҳолат","дар охири ҷумлаи саволӣ омада, эҳтимолиятро ифода мекунад.","你是个学生～？","audio_files/吧.mp3","H2","5","0"
"216","吧","ba","ba","калимаи ёридиҳандаи ҳолат","дар охири ҷумлаи амрӣ истифода мешавад.","请你走～！","audio_files/吧.mp3","H2","5","0"
"217","白","bái","bai","сифат","сафед","我很爱穿那件～衣服。","audio_files/白.mp3","H2","8","0"
"218","百","bǎi","bai","шумора","сад","这个自行车五～多元。","audio_files/百.mp3","H2","14","0"
"219","帮助","bāngzhù","bangzhu","феъл","ёрӣ додан","请～我找一家搬家公司，好吗？","audio_files/帮助.mp3","H2","10","0"
"220","报纸","bàozhǐ","baozhi","исм","рӯзнома","我每天早上都要读～。","audio_files/报纸.mp3","H2","3","0"
"221","比","bǐ","bi","пешоянд","аз","我的孩子～我高。","audio_files/比.mp3","H2","11","0"
"222","别","bié","bie","зарф","не, нодаркор, нолозим","太晚了，～看电视了。","audio_files/别.mp3","H2","10","0"
"223","长","cháng","chang","сифат","дароз","姐姐的腿～，跑得快。","audio_files/长.mp3","H2","4","0"
"224","唱歌","chànggē","changge","феъл","суруд хондан","我最爱～了，我给你们唱一个。","audio_files/唱歌.mp3","H2","11","0"
"225","出","chū","chu","феъл","баромадан","我已经走～火车站了。","audio_files/出.mp3","H2","2","0"
"226","出","chū","chu","феъл","рух додан, пайдо шудан","你帮我看看，这台电脑～什么问题了？","audio_files/出.mp3","H2","2","0"
"227","出","chū","chu","феъл","дар охири феъл омада, ҳаракатро ифода менамояд.","我从他的脸上，没看～他难过来。","audio_files/出.mp3","H2","2","0"
"228","穿","chuān","chuan","феъл","пӯшидан","天冷了，多～些衣服吧。","audio_files/穿.mp3","H2","12","0"
"229","次","cì","ci","воҳиди ченак (барои исм)/ воҳиди ченак (барои феъл)","маротиба, дафъа","我去过一～北京。","audio_files/次.mp3","H2","14","0"
"230","从","cóng","cong","пешоянд","аз","～我家到公司，开车要 20 分钟。","audio_files/从.mp3","H2","9","0"
"231","错","cuò","cuo","сифат","иштибоҳ, хато","对不起，我～了。","audio_files/错.mp3","H2","9","0"
"232","打篮球","dǎ lánqiú","da lanqiu","-","баскетболбозӣ кардан","我每天下午都去～。","audio_files/打篮球.mp3","H2","6","0"
"233","大家","dàjiā","dajia","ҷонишин","ҳамагон, ҳамакаса","请～不要等我了。","audio_files/大家.mp3","H2","15","0"
"234","到","dào","dao","феъл","расидан","我早上 9 点～公司。","audio_files/到.mp3","H2","7","0"
"235","得","de","de","калимаи ёридиҳандаи таркибӣ","нишонаи пуркунанда","你走～太快了。","audio_files/得.mp3","H2","12","0"
"236","等","děng","deng","феъл","интизор шудан","你还要再～我 10 分钟。","audio_files/等.mp3","H2","8","0"
